dataset,station_id,station_name,province,model,H_star_skill,H_star_evento,H_star_fidelidad,H_star_skill_censored,H_star_evento_censored,H_star_fidelidad_censored,min_n_exceedances_est,n_horizons_available
e1_rr_08019004_10_M,08019004_10_M,Barcelona El Poblenou,Barcelona,hgb_direct,7,,0,True,False,False,12.0,7
e1_rr_08019004_10_M,08019004_10_M,Barcelona El Poblenou,Barcelona,ridge_direct,7,,0,True,False,False,12.0,7
e1_rr_08019004_10_M,08019004_10_M,Barcelona El Poblenou,Barcelona,sarima,7,,1,True,False,False,1.0,7
e1_rr_08019004_10_M,08019004_10_M,Barcelona El Poblenou,Barcelona,seasonal_naive,0,,7,False,False,True,12.0,7
e1_rr_08019004_10_M,08019004_10_M,Barcelona El Poblenou,Barcelona,stl_ridge_direct,0,,7,False,False,True,12.0,7
e1_rr_08019028_10_M,08019028_10_M,Barcelona Pl. Universitat,Barcelona,hgb_direct,7,0.0,0,True,False,False,29.0,7
e1_rr_08019028_10_M,08019028_10_M,Barcelona Pl. Universitat,Barcelona,ridge_direct,7,0.0,0,True,False,False,29.0,7
e1_rr_08019028_10_M,08019028_10_M,Barcelona Pl. Universitat,Barcelona,sarima,7,,1,True,False,False,3.0,7
e1_rr_08019028_10_M,08019028_10_M,Barcelona Pl. Universitat,Barcelona,seasonal_naive,0,0.0,7,False,False,True,29.0,7
e1_rr_08019028_10_M,08019028_10_M,Barcelona Pl. Universitat,Barcelona,stl_ridge_direct,0,0.0,7,False,False,True,29.0,7
e1_rr_08019043_10_M,08019043_10_M,Barcelona L'Eixample,Barcelona,hgb_direct,7,,0,True,False,False,10.0,7
e1_rr_08019043_10_M,08019043_10_M,Barcelona L'Eixample,Barcelona,ridge_direct,7,,0,True,False,False,10.0,7
e1_rr_08019043_10_M,08019043_10_M,Barcelona L'Eixample,Barcelona,sarima,7,,1,True,False,False,1.0,7
e1_rr_08019043_10_M,08019043_10_M,Barcelona L'Eixample,Barcelona,seasonal_naive,0,,7,False,False,True,10.0,7
e1_rr_08019043_10_M,08019043_10_M,Barcelona L'Eixample,Barcelona,stl_ridge_direct,0,,7,False,False,True,10.0,7
e1_rr_08019045_10_M,08019045_10_M,Barcelona Zona Universitaria,Barcelona,hgb_direct,7,,0,True,False,False,14.0,7
e1_rr_08019045_10_M,08019045_10_M,Barcelona Zona Universitaria,Barcelona,ridge_direct,7,,0,True,False,False,14.0,7
e1_rr_08019045_10_M,08019045_10_M,Barcelona Zona Universitaria,Barcelona,sarima,7,,1,True,False,False,1.0,7
e1_rr_08019045_10_M,08019045_10_M,Barcelona Zona Universitaria,Barcelona,seasonal_naive,0,,7,False,False,True,14.0,7
e1_rr_08019045_10_M,08019045_10_M,Barcelona Zona Universitaria,Barcelona,stl_ridge_direct,0,,7,False,False,True,14.0,7
e1_rr_08019052_10_M,08019052_10_M,Barcelona El Port Vell,Barcelona,hgb_direct,7,0.0,0,True,False,False,27.0,7
e1_rr_08019052_10_M,08019052_10_M,Barcelona El Port Vell,Barcelona,ridge_direct,7,0.0,0,True,False,False,27.0,7
e1_rr_08019052_10_M,08019052_10_M,Barcelona El Port Vell,Barcelona,sarima,7,,1,True,False,False,0.0,7
e1_rr_08019052_10_M,08019052_10_M,Barcelona El Port Vell,Barcelona,seasonal_naive,0,0.0,7,False,False,True,27.0,7
e1_rr_08019052_10_M,08019052_10_M,Barcelona El Port Vell,Barcelona,stl_ridge_direct,0,0.0,7,False,False,True,27.0,7
e1_rr_08019054_10_M,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,hgb_direct,7,,0,True,False,False,11.0,7
e1_rr_08019054_10_M,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,ridge_direct,7,,1,True,False,False,11.0,7
e1_rr_08019054_10_M,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,sarima,7,,1,True,False,False,0.0,7
e1_rr_08019054_10_M,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,seasonal_naive,0,,7,False,False,True,11.0,7
e1_rr_08019054_10_M,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,stl_ridge_direct,0,,7,False,False,True,11.0,7
e1_rr_08263007_10_M,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,hgb_direct,7,,0,True,False,False,18.0,7
e1_rr_08263007_10_M,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,ridge_direct,7,,0,True,False,False,18.0,7
e1_rr_08263007_10_M,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,sarima,7,,0,True,False,False,0.0,7
e1_rr_08263007_10_M,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,seasonal_naive,0,,7,False,False,True,18.0,7
e1_rr_08263007_10_M,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,stl_ridge_direct,0,,7,False,False,True,18.0,7
e1_rr_22125001_10_M,22125001_10_M,Huesca,Huesca,hgb_direct,7,,1,True,False,False,6.0,7
e1_rr_22125001_10_M,22125001_10_M,Huesca,Huesca,ridge_direct,7,,0,True,False,False,6.0,7
e1_rr_22125001_10_M,22125001_10_M,Huesca,Huesca,sarima,7,,1,True,False,False,0.0,7
e1_rr_22125001_10_M,22125001_10_M,Huesca,Huesca,seasonal_naive,0,,7,False,False,True,6.0,7
e1_rr_22125001_10_M,22125001_10_M,Huesca,Huesca,stl_ridge_direct,0,,7,False,False,True,6.0,7
